log_header, utc_hhmmss, pos_status, lat, lat_dir, lon, lon_dir, speed_kn, track_true, dt, mag_var, var_dir, checksum
$GPRMC,071605.00,A,4925.462389,N,02141.524738,E,051.4,159.5,030619,,,A*5F
$GPRMC,071606.00,A,4925.449115,N,02141.531974,E,050.8,159.7,030619,,,A*5F
$GPRMC,071607.00,A,4925.435768,N,02141.539477,E,050.6,159.6,030619,,,A*50
$GPRMC,071608.00,A,4925.422439,N,02141.547142,E,050.9,159.4,030619,,,A*59
$GPRMC,071609.00,A,4925.408955,N,02141.555085,E,052.0,159.0,030619,,,A*51
$GPRMC,071610.00,A,4925.395374,N,02141.563219,E,052.2,159.1,030619,,,A*52
$GPRMC,071611.00,A,4925.381747,N,02141.571205,E,052.0,159.2,030619,,,A*5D
$GPRMC,071612.00,A,4925.368452,N,02141.578836,E,049.6,159.2,030619,,,A*51
$GPRMC,071613.00,A,4925.355678,N,02141.586258,E,048.2,159.1,030619,,,A*51
$GPRMC,071614.00,A,4925.343804,N,02141.593049,E,045.5,159.2,030619,,,A*5B
$GPRMC,071615.00,A,4925.332609,N,02141.599483,E,042.6,159.1,030619,,,A*50
$GPRMC,071616.00,A,4925.321853,N,02141.605753,E,040.1,159.1,030619,,,A*5D
$GPRMC,071617.00,A,4925.311956,N,02141.612511,E,039.1,159.1,030619,,,A*57
$GPRMC,071618.00,A,4925.302144,N,02141.618868,E,038.5,158.2,030619,,,A*5F
$GPRMC,071619.00,A,4925.292469,N,02141.625282,E,038.1,157.7,030619,,,A*52
$GPRMC,071620.00,A,4925.283214,N,02141.631508,E,035.6,157.1,030619,,,A*58
$GPRMC,071621.00,A,4925.273976,N,02141.636933,E,034.9,158.4,030619,,,A*5E
$GPRMC,071622.00,A,4925.264773,N,02141.641866,E,034.7,159.0,030619,,,A*5A
$GPRMC,071623.00,A,4925.255930,N,02141.644782,E,033.4,158.2,030619,,,A*57
$GPRMC,071624.00,A,4925.247731,N,02141.649710,E,032.8,158.4,030619,,,A*51
$GPRMC,071625.00,A,4925.239441,N,02141.654488,E,033.7,158.9,030619,,,A*50
$GPRMC,071626.00,A,4925.230855,N,02141.658780,E,034.8,158.9,030619,,,A*5C
$GPRMC,071627.00,A,4925.222188,N,02141.664060,E,034.7,159.0,030619,,,A*56
$GPRMC,071628.00,A,4925.213355,N,02141.669887,E,034.0,159.0,030619,,,A*52
$GPRMC,071629.00,A,4925.204720,N,02141.675168,E,032.5,159.1,030619,,,A*54
$GPRMC,071630.00,A,4925.196444,N,02141.680076,E,031.3,159.7,030619,,,A*52
$GPRMC,071631.00,A,4925.188635,N,02141.684717,E,029.2,159.3,030619,,,A*50
$GPRMC,071632.00,A,4925.181304,N,02141.689111,E,027.4,159.1,030619,,,A*5A
$GPRMC,071633.00,A,4925.174250,N,02141.692945,E,026.8,159.1,030619,,,A*5F
$GPRMC,071634.00,A,4925.167286,N,02141.696935,E,027.1,159.0,030619,,,A*5B
$GPRMC,071635.00,A,4925.160233,N,02141.701441,E,028.0,158.7,030619,,,A*5A
$GPRMC,071636.00,A,4925.153061,N,02141.706039,E,027.9,157.7,030619,,,A*59
$GPRMC,071637.00,A,4925.145620,N,02141.710368,E,028.7,158.8,030619,,,A*5D
$GPRMC,071638.00,A,4925.138175,N,02141.715334,E,029.1,158.9,030619,,,A*55
$GPRMC,071639.00,A,4925.130589,N,02141.720299,E,029.7,159.3,030619,,,A*56
$GPRMC,071640.00,A,4925.122939,N,02141.725093,E,029.3,159.3,030619,,,A*55
$GPRMC,071641.00,A,4925.115188,N,02141.729565,E,029.7,159.1,030619,,,A*54
$GPRMC,071642.00,A,4925.107438,N,02141.734317,E,030.0,159.1,030619,,,A*5A
$GPRMC,071643.00,A,4925.099356,N,02141.739177,E,032.0,159.2,030619,,,A*5A
$GPRMC,071644.00,A,4925.090644,N,02141.744172,E,034.7,159.4,030619,,,A*5A
$GPRMC,071645.00,A,4925.081688,N,02141.749304,E,034.1,159.1,030619,,,A*56
$GPRMC,071646.00,A,4925.072646,N,02141.753037,E,033.5,158.7,030619,,,A*57
$GPRMC,071647.00,A,4925.064306,N,02141.758973,E,032.9,155.3,030619,,,A*56
$GPRMC,071648.00,A,4925.056479,N,02141.765415,E,030.5,148.2,030619,,,A*57
$GPRMC,071649.00,A,4925.048814,N,02141.772102,E,032.0,146.9,030619,,,A*59
$GPRMC,071650.00,A,4925.040882,N,02141.779863,E,034.5,148.3,030619,,,A*54
$GPRMC,071651.00,A,4925.031739,N,02141.787237,E,036.8,148.5,030619,,,A*5F
$GPRMC,071652.00,A,4925.022507,N,02141.795547,E,038.5,148.9,030619,,,A*5D
$GPRMC,071653.00,A,4925.012860,N,02141.804753,E,040.0,150.6,030619,,,A*5F
$GPRMC,071654.00,A,4925.002351,N,02141.815356,E,045.5,151.0,030619,,,A*56
$GPRMC,071655.00,A,4924.991042,N,02141.826730,E,048.7,150.8,030619,,,A*56
$GPRMC,071656.00,A,4924.979272,N,02141.838571,E,049.7,149.3,030619,,,A*58
$GPRMC,071657.00,A,4924.967618,N,02141.850397,E,048.7,148.3,030619,,,A*5E
$GPRMC,071658.00,A,4924.956153,N,02141.862187,E,047.6,147.7,030619,,,A*5C
$GPRMC,071659.00,A,4924.944939,N,02141.873563,E,046.4,148.6,030619,,,A*59
$GPRMC,071700.00,A,4924.933741,N,02141.884121,E,046.8,150.9,030619,,,A*55
$GPRMC,071701.00,A,4924.922149,N,02141.893814,E,047.9,155.0,030619,,,A*5F
$GPRMC,071702.00,A,4924.909617,N,02141.902466,E,049.6,158.3,030619,,,A*56
$GPRMC,071703.00,A,4924.895900,N,02141.909901,E,052.4,163.6,030619,,,A*58
$GPRMC,071704.00,A,4924.881394,N,02141.915944,E,054.2,164.5,030619,,,A*55
$GPRMC,071705.00,A,4924.866606,N,02141.921355,E,056.0,163.5,030619,,,A*59
$GPRMC,071706.00,A,4924.851818,N,02141.927297,E,056.0,164.6,030619,,,A*52
$GPRMC,071707.00,A,4924.837051,N,02141.933390,E,055.0,164.6,030619,,,A*56
$GPRMC,071708.00,A,4924.822770,N,02141.939139,E,052.5,164.9,030619,,,A*5F
$GPRMC,071709.00,A,4924.808842,N,02141.944823,E,051.2,164.2,030619,,,A*5F
$GPRMC,071710.00,A,4924.795450,N,02141.950750,E,049.0,164.1,030619,,,A*55
$GPRMC,071711.00,A,4924.782468,N,02141.956318,E,048.5,163.9,030619,,,A*5C
